text,abreviation
bc,bon courage
bcp,beaucoup
bcps,beaucoup
bf,boring
bg,bonjour
bj,bonjour
bjr,bonjour
bn,bon
bnj,bonjour
bnjr,bonjour
bns,bonsoir
bpc,beaucoup
bq,beaucoup
br,brother
brtv,marque
bsr,bonsoir
bts,batiment
byd,by
bz,bizou
cbn,c'est bon
cf,confer
ck,Checksum 
cl,clasher
cmplt,complet
cnx,connexion
cr,crâne
crb,Chabab Riadhi de Belouizdad
crg,courage
crû,crûs
csc,club sportif de constontine
ct,	coût
ctr,click through
cv,sa vas
cvr,cowave rouhak
db,décibel
dg,directeur général
dj,disque djoking
djzy,djezzy
dk,d accord
drs,Département du Renseignement et de la Sécurité
drvgx,dangeureux
ds,des
dsl,désolé
dt,dit
dz,algerie
fb,facebook
fdp,fils de pute
fln,front de la libération national
fps,first person shoot
fr,frère
fx,fix
gb,god
gd,grand
gl,good luck
gps,global position system
gr,globule rouge
grv,grave
hg,mercure
hp,hope
hpc,marque
hr,horaire
hs,hors service
htc,	Hématocrite
htp,hyperposition portable
hy,hi
jdr,j adore
jfk,je fais quoi
jms,jamais
jr,jour
jrs,jours
jsk,jusqu a
jsmb,jeuness sportif de béjaia
jspr,j'espère
jt,j'étais
kds,kids
kg,kilos gramme
kgb,kilos gramme
kgs,kilos gramme
klk,qualque
km,kilos mettre
lg,marque
lrs,leurs
ls,les
lsl,l essentiel
lst,last
mdr,mort de rir
mn,minute
mnt,maintenant
mr,mère
mrc,merci
mrd,merde
mrs,monsieur
ms,mes
msg,message
msr,monsieur
mtn,maintenant
nb,Noob
nd,nombre
nrml,normal
ns,nous
nsrn,nique sa mère
nt,not
pblm,problem
pc,ordinateur
pck,par ce que
pcq,par ce que
pcs,pièces
pdf,portable document format
pdg,président directeur général
pdr,pété de rir
pf,angry
pk,pourquoi
plz,please
pnt,point
pr,pour
prblm,problem
prc,parce que
prcq,parce que
prq,pourquoi
prv,privé
ps,Post Scriptum
psg,parce que
psj,club sportif
psk,parce que
psq,parce que
pt,point
ptn,putin
pvc,marque
pw,per week
qd,quand
qhd,qualité  Haute Définition
ql,quel
qlq,quelque
rcd,Rassemblement pour la culture et la démocratie
rdv,rendez vous
rnd,rendez vous
rt,right
slp,s il te plait
slt,salut
slvp,s il vous plais
sms,short message service
sns,short message service
sp,special 
spv,special pupose vehicle
srt,surtout
srx,sérieux
st,salut
stp,s il te plait
sùr,sûre
sûr,sûre
sv,sa vas
svp,s il vous plait
syst,système
tb,the best
tc,take care
tfk,tu fait qoui
tgv,train grande vitess
th,thanks
thnk,thanks
thnks,thanks
tjr,toujour
tjrs,toujour
tjs,toujour
tkt,t'inquiète
tlf,téléphone
tlfn,téléphone
tlph,téléphone
tlphn,téléphone
tn,ton
tnkx,thanks
tp,travaux pratique
tr,t as raison
ts,tous
tv,télévision
vj,marque
vjk,marque
vr,vaiment
vrmnt,vraiment
vs,versus
vtr,votre
vx,vieux
wl,wlh
wtf,what a fok
xd,extreamly died
xf,Experimental Fighter
ysr,yasser
